CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060111050627,2006,6,1,65,5,2,1,50101,335,5,6:55:00
20060111050627,2006,6,1,65,5,2,1,50101,255,0,12:45:00
20060111050691,2006,6,1,75,0,2,2,50101,253,0,7:47:00
20060111050691,2006,6,1,75,0,2,2,50101,240,0,13:00:00
20060111050696,2006,6,1,50,15,1,1,50101,120,0,11:00:00
20060111050696,2006,6,1,50,15,1,1,50101,130,0,13:20:00
20060111050737,2006,6,1,75,0,2,2,50101,120,0,7:00:00
20060111050737,2006,6,1,75,0,2,2,50101,105,0,9:15:00
20060111050737,2006,6,1,75,0,2,2,50101,90,0,11:30:00
20060111050737,2006,6,1,75,0,2,2,50101,45,0,13:15:00
20060111050755,2006,6,1,150,6,1,1,50101,180,5,7:00:00
20060111050755,2006,6,1,150,6,1,1,50101,135,0,10:15:00
20060111050755,2006,6,1,150,6,1,1,50101,110,1,13:10:00
20060111050755,2006,6,1,150,6,1,1,50101,75,0,15:15:00
20060111050757,2006,6,1,110,0,2,2,50101,210,0,15:00:00
20060111050788,2006,6,1,120,0,2,2,50101,150,0,7:00:00
20060111050788,2006,6,1,120,0,2,2,50101,135,0,9:45:00
20060111050788,2006,6,1,120,0,2,2,50101,120,0,13:00:00
20060111050788,2006,6,1,120,0,2,2,50101,45,0,15:15:00
20060111050789,2006,6,1,170,10,2,1,50101,315,0,7:45:00
20060111050789,2006,6,1,170,10,2,1,50101,330,0,13:30:00
20060111050798,2006,6,1,75,0,2,2,50101,240,0,4:00:00
20060111050798,2006,6,1,75,0,2,2,50101,270,0,23:30:00
20060111050800,2006,6,1,15,0,2,2,50101,180,0,6:40:00
20060111050800,2006,6,1,15,0,2,2,50101,60,0,9:55:00
20060111050800,2006,6,1,15,0,2,2,50101,180,0,11:25:00
20060111050806,2006,6,1,20,5,1,1,50101,5,0,16:00:00
20060111050869,2006,12,1,75,0,2,2,50101,120,0,19:00:00
20060111050869,2006,12,1,75,0,2,2,50101,105,0,21:15:00
20060111050869,2006,12,1,75,0,2,2,50101,165,0,23:15:00
20060111050869,2006,12,1,75,0,2,2,50101,105,0,2:15:00
20060111050881,2006,12,1,70,0,2,2,50101,360,0,6:00:00
20060111050898,2006,12,1,90,0,2,2,50101,270,0,7:30:00
20060111050898,2006,12,1,90,0,2,2,50101,210,0,12:30:00
20060111050906,2006,12,1,60,0,2,2,50102,475,0,5:05:00
20060111050907,2006,12,1,70,0,2,2,50101,305,0,6:55:00
20060111050907,2006,12,1,70,0,2,2,50101,300,0,12:30:00
20060111050935,2006,12,1,120,15,2,1,50101,60,0,8:30:00
20060111050935,2006,12,1,120,15,2,1,50101,45,0,10:15:00
20060111050935,2006,12,1,120,15,2,1,50101,45,0,11:30:00
20060111050935,2006,12,1,120,15,2,1,50101,45,0,14:45:00
