TUCASEID,t110101
20160201162160,180
20160201162161,60
20160201162165,30
20160201162169,145
20160201162170,0
20160201162173,88
20160201162181,145
20160201162185,35
20160201162186,75
20160201162191,25
20160201162192,110
20160201162194,10
20160201162195,60
20160201162198,110
20160201162203,0
20160201162207,75
20160201162209,85
20160201162210,75
20160201162211,5
20160201162216,55
20160201162221,20
20160201162227,30
20160201162232,30
20160201162236,90
20160201162238,40
20160201162239,180
20160201162244,60
20160201162246,100
20160201162251,30
20160201162257,45
20160201162263,50
20160201162266,30
20160201162268,30
20160201162269,0
20160201162271,10
20160201162276,20
20160201162279,0
20160201162281,55
20160201162283,20
20160201162284,60
20160201162289,95
20160201162293,120
20160201162295,30
20160201162299,35
20160201162302,45
20160201162308,175
20160201162313,40
20160201162315,65
20160201162328,45
20160201162334,40
20160201162339,6
20160201162341,15
20160201162345,80
20160201162346,0
20160201162348,135
20160201162352,0
20160201162357,75
20160201162366,75
20160201162369,85
20160201162372,90
20160201162375,60
20160201162376,45
20160201162379,75
20160201162383,60
20160201162385,110
20160201162389,25
20160201162390,150
20160201162394,216
20160201162395,20
20160201162398,90
20160201162403,35
20160201162405,50
20160201162410,100
20160201162411,55
20160201162418,15
20160201162426,75
20160201162433,80
20160201162435,100
20160201162437,70
20160201162439,105
20160201162441,0
20160201162442,30
20160201162446,125
20160201162450,25
20160201162454,20
20160201162456,30
20160201162465,15
20160201162466,45
20160201162472,50
20160201162474,80
20160201162475,20
20160201162476,60
20160201162479,0
20160201162480,32
20160201162482,80
20160201162485,105
20160201162487,60
20160201162493,10
20160201162502,105
20160201162509,72
20160201162512,75
20160201162520,0
20160201162526,65
20160201162530,20
20160201162533,120
20160201162535,35
20160202160014,120
20160202160021,70
20160202160026,60
20160202160042,70
20160202160044,60
20160202160097,20
20160202160099,25
20160202160115,105
20160202160129,40
20160202160161,35
20160202160520,50
20160202160558,30
20160202160559,60
20160202160571,90
20160202160575,30
20160202160579,120
20160202160591,15
20160202160592,50
20160202160601,205
20160202160606,70
20160202160616,120
20160202160626,45
20160202160639,65
20160202160661,113
20160202160678,85
20160202160683,30
20160202160692,55
20160202160702,15
20160202160727,260
20160202160745,29
20160202160769,80
20160202160777,62
20160202160798,115
20160202160799,135
20160202160816,50
20160202160823,51
20160202160826,20
20160202160834,75
20160202160852,20
20160202160857,75
20160202160865,180
20160202160867,110
20160202160878,85
20160202160885,75
20160202160890,60
20160202160895,65
20160202160916,80
20160202160920,120
20160202160922,25
20160202160939,110
20160202160943,135
20160202160947,110
20160202160948,20
20160202160953,75
20160202160969,135
20160202160970,75
20160202160991,160
