CASEID,YEAR,STATEFIP,PED,SED_EAT,ANYSECEAT,ACTIVITY,DURATION,START
20060605061559,2006,34,35,0,2,50101,155,11:25:00
20060605061564,2006,34,30,0,2,50101,235,16:05:00
20060605061565,2006,34,15,20,1,50101,550,9:05:00
20060605061568,2006,34,145,0,2,60101,178,7:32:00
20060605061568,2006,34,145,0,2,60101,200,11:10:00
20060605061568,2006,34,145,0,2,50303,60,18:47:00
20060605061574,2006,34,60,10,1,60102,98,8:52:00
20060605061581,2006,34,80,0,2,50101,135,22:00:00
20060605061581,2006,34,80,0,2,50101,15,0:15:00
20060605061600,2006,36,50,0,2,50101,400,6:20:00
20060605061600,2006,36,50,0,2,50101,150,13:30:00
20060605061613,2006,36,95,60,1,50101,298,5:02:00
20060605061613,2006,36,95,60,1,50101,208,17:02:00
20060605061613,2006,36,95,60,1,50101,71,21:04:00
20060605061629,2006,36,35,0,2,50101,140,10:10:00
20060605061640,2006,36,25,5,1,50101,180,8:50:00
20060605061640,2006,36,25,5,1,50101,115,12:05:00
20060605061640,2006,36,25,5,1,50101,221,14:19:00
20060605061656,2006,36,110,0,2,50101,320,7:40:00
20060605061656,2006,36,110,0,2,50101,105,14:00:00
20060605061656,2006,36,110,0,2,50101,30,20:10:00
20060605061668,2006,36,150,15,1,50101,265,8:35:00
20060605061668,2006,36,150,15,1,50101,145,13:35:00
20060605061676,2006,36,120,80,1,50101,300,8:00:00
20060605061679,2006,36,40,25,1,60101,240,8:00:00
20060605061679,2006,36,40,25,1,60101,110,12:40:00
20060605061689,2006,36,45,5,1,50101,90,14:30:00
20060605061690,2006,36,60,30,1,50101,20,12:00:00
20060605061708,2006,36,50,10,1,50101,105,10:45:00
20060605061708,2006,36,50,10,1,50101,240,13:00:00
20060605061713,2006,36,85,0,2,50101,180,6:00:00
20060605061713,2006,36,85,0,2,50101,170,9:10:00
20060605061713,2006,36,85,0,2,50101,180,12:30:00
20060605061713,2006,36,85,0,2,50101,135,15:45:00
20060605061714,2006,36,40,10,1,50101,760,7:20:00
20060605061715,2006,36,90,20,1,50101,220,11:20:00
20060605061715,2006,36,90,20,1,50101,180,16:00:00
20060605061746,2006,37,10,5,1,60102,60,9:50:00
20060605061752,2006,37,60,0,2,50101,322,5:08:00
20060605061752,2006,37,60,0,2,50101,140,10:40:00
20060605061752,2006,37,60,0,2,50101,95,13:25:00
20060605061752,2006,37,60,0,2,50101,120,15:10:00
20060605061753,2006,37,45,0,2,50101,20,14:30:00
20060605061755,2006,37,55,15,1,50101,210,8:35:00
20060605061755,2006,37,55,15,1,50101,5,12:15:00
20060605061755,2006,37,55,15,1,50101,270,13:00:00
20060605061775,2006,37,30,10,1,50101,15,19:20:00
20060605061782,2006,38,70,5,1,50101,155,7:25:00
20060605061782,2006,38,70,5,1,50101,120,10:00:00
20060605061782,2006,38,70,5,1,50101,210,12:30:00
20060605061784,2006,38,30,0,2,50101,580,7:20:00
20060605061791,2006,39,45,25,1,50101,255,22:45:00
20060605061791,2006,39,45,25,1,50101,45,3:15:00
20060605061809,2006,39,5,5,1,50101,515,6:25:00
20060605061812,2006,39,25,40,1,50101,30,12:05:00
20060605061817,2006,39,113,0,2,50101,15,9:50:00
20060605061817,2006,39,113,0,2,50101,10,12:45:00
20060605061817,2006,39,113,0,2,50101,159,17:51:00
20060605061817,2006,39,113,0,2,50101,60,21:15:00
20060605061827,2006,39,130,5,1,50101,163,6:47:00
20060605061827,2006,39,130,5,1,50101,110,9:40:00
20060605061827,2006,39,130,5,1,50101,120,12:00:00
20060605061827,2006,39,130,5,1,50101,70,14:10:00
20060605061842,2006,39,45,9996,96,50101,420,5:00:00
20060605061842,2006,39,45,9996,96,50101,330,12:30:00
20060605061849,2006,39,60,0,2,50101,149,6:31:00
20060605061849,2006,39,60,0,2,50101,200,9:10:00
20060605061849,2006,39,60,0,2,50101,135,13:00:00
20060605061877,2006,40,10,120,1,50101,120,12:25:00
20060605061888,2006,40,30,45,1,50399,20,8:30:00
20060605061888,2006,40,30,45,1,50301,60,8:50:00
20060605061888,2006,40,30,45,1,50301,60,9:50:00
20060605061888,2006,40,30,45,1,50301,30,10:50:00
20060605061888,2006,40,30,45,1,50301,30,11:20:00
20060605061888,2006,40,30,45,1,50301,250,11:50:00
20060605061888,2006,40,30,45,1,50301,30,16:00:00
20060605061888,2006,40,30,45,1,50399,30,16:30:00
20060605061893,2006,41,45,0,2,50101,310,9:50:00
20060605061903,2006,41,30,25,1,50101,10,14:35:00
20060605061908,2006,41,30,15,1,50101,415,7:05:00
20060605061908,2006,41,30,15,1,50101,20,14:10:00
20060605061908,2006,41,30,15,1,50101,120,15:20:00
20060605061908,2006,41,30,15,1,50101,115,19:05:00
20060605061922,2006,42,70,5,1,50101,105,7:45:00
20060605061922,2006,42,70,5,1,50101,70,9:50:00
20060605061922,2006,42,70,5,1,50101,120,11:30:00
20060605061922,2006,42,70,5,1,50101,225,13:45:00
20060605061929,2006,42,63,5,1,50101,180,15:55:00
20060605061929,2006,42,63,5,1,50101,180,19:10:00
20060605061935,2006,42,265,0,2,50101,15,12:30:00
20060605061936,2006,42,45,0,2,50101,95,9:40:00
20060605061936,2006,42,45,0,2,50101,180,12:00:00
20060605061936,2006,42,45,0,2,50101,120,16:00:00
20060605061939,2006,42,0,0,2,50101,90,13:30:00
20060605061939,2006,42,0,0,2,50101,690,16:30:00
20060605061943,2006,42,60,0,2,50101,240,6:35:00
20060605061943,2006,42,60,0,2,50101,300,11:20:00
20060605061952,2006,42,20,0,2,50101,150,16:30:00
20060605061966,2006,42,190,0,2,50101,240,8:00:00
20060605061966,2006,42,190,0,2,50101,270,13:00:00
20060605061970,2006,42,40,0,2,50101,164,9:16:00
20060605061970,2006,42,40,0,2,50101,180,13:12:00
20060605061977,2006,42,30,10,1,50101,448,7:52:00
20060605061977,2006,42,30,10,1,50101,61,15:29:00
20060605061988,2006,42,120,0,2,50101,75,8:30:00
20060605061988,2006,42,120,0,2,50101,340,14:35:00
20060605061990,2006,42,35,10,1,50101,96,14:39:00
20060605061994,2006,42,15,60,1,50101,480,8:30:00
20060605061995,2006,42,62,10,1,50101,340,5:20:00
20060605062007,2006,45,70,0,2,50101,115,4:35:00
20060605062007,2006,45,70,0,2,50101,120,9:20:00
20060605062007,2006,45,70,0,2,50101,30,13:45:00
20060605062018,2006,45,0,40,1,50101,150,7:00:00
20060605062018,2006,45,0,40,1,50101,120,10:00:00
20060605062018,2006,45,0,40,1,50101,240,12:30:00
20060605062046,2006,47,40,0,2,50101,315,7:00:00
20060605062046,2006,47,40,0,2,50101,195,12:45:00
20060605062057,2006,47,30,0,2,50101,165,6:45:00
20060605062057,2006,47,30,0,2,50101,195,9:45:00
20060605062057,2006,47,30,0,2,50101,90,13:30:00
20060605062065,2006,47,90,0,2,50101,270,7:30:00
20060605062065,2006,47,90,0,2,50101,210,12:30:00
20060605062070,2006,48,76,0,2,50101,345,7:15:00
20060605062070,2006,48,76,0,2,50101,209,14:01:00
20060605062071,2006,48,90,0,2,50101,240,8:00:00
20060605062071,2006,48,90,0,2,50101,210,12:30:00
20060605062077,2006,48,6,14,1,50101,35,6:26:00
20060605062077,2006,48,6,14,1,50101,164,8:06:00
20060605062077,2006,48,6,14,1,50101,20,10:55:00
20060605062077,2006,48,6,14,1,50101,155,11:15:00
20060605062080,2006,48,65,533,1,50101,223,5:17:00
20060605062080,2006,48,65,533,1,50101,110,9:10:00
20060605062080,2006,48,65,533,1,50101,90,11:30:00
20060605062080,2006,48,65,533,1,50101,110,13:10:00
20060605062086,2006,48,165,0,2,50101,135,9:15:00
20060605062086,2006,48,165,0,2,50101,285,13:15:00
20060605062088,2006,48,60,0,2,50101,570,7:30:00
20060605062091,2006,48,60,0,2,50101,150,17:30:00
20060605062091,2006,48,60,0,2,50101,90,20:15:00
20060605062091,2006,48,60,0,2,50101,135,22:15:00
20060605062091,2006,48,60,0,2,50101,105,0:45:00
20060605062111,2006,48,95,0,2,50101,150,6:10:00
20060605062111,2006,48,95,0,2,50101,100,8:55:00
20060605062111,2006,48,95,0,2,50101,338,10:52:00
20060605062133,2006,48,35,0,2,50101,250,8:50:00
20060605062133,2006,48,35,0,2,50101,145,13:35:00
20060605062137,2006,48,15,10,1,60103,15,10:15:00
20060605062137,2006,48,15,10,1,60102,30,10:30:00
20060605062141,2006,48,20,0,2,50102,720,5:15:00
20060605062158,2006,48,60,0,2,50101,240,14:00:00
20060605062163,2006,48,0,15,1,50101,180,13:00:00
20060605062170,2006,48,160,30,1,50199,120,19:00:00
20060605062182,2006,48,105,0,2,50101,60,22:10:00
20060605062184,2006,48,30,0,2,50101,410,8:10:00
20060605062187,2006,48,75,10,1,50101,110,13:10:00
20060605062187,2006,48,75,10,1,50101,235,16:15:00
20060605062194,2006,48,50,5,1,50101,280,7:20:00
20060605062194,2006,48,50,5,1,50101,270,12:30:00
20060605062206,2006,48,60,0,2,50101,172,7:08:00
20060605062213,2006,49,70,10,1,50101,120,15:10:00
20060605062213,2006,49,70,10,1,50101,130,17:20:00
20060605062213,2006,49,70,10,1,50101,130,20:00:00
20060605062213,2006,49,70,10,1,50101,310,22:20:00
20060605062217,2006,49,100,0,2,50101,230,7:40:00
20060605062217,2006,49,100,0,2,50101,351,12:09:00
20060605062231,2006,50,43,0,2,50101,60,7:35:00
20060605062231,2006,50,43,0,2,50101,110,15:10:00
20060605062231,2006,50,43,0,2,50101,210,18:00:00
20060605062237,2006,51,15,15,1,50101,480,15:00:00
20060605062240,2006,51,75,0,2,50101,255,7:45:00
20060605062240,2006,51,75,0,2,50101,300,12:30:00
20060605062240,2006,51,75,0,2,50101,145,20:05:00
20060605062243,2006,51,9999,9999,99,50101,270,6:00:00
20060605062243,2006,51,9999,9999,99,50101,195,11:00:00
20060605062244,2006,51,20,30,1,50101,387,7:13:00
20060605062263,2006,51,45,15,1,50101,120,23:00:00
20060605062264,2006,51,30,30,1,50101,240,6:30:00
20060605062264,2006,51,30,30,1,50101,195,10:45:00
20060605062270,2006,51,95,0,2,50101,165,8:15:00
20060605062270,2006,51,95,0,2,50101,186,12:54:00
20060605062273,2006,51,80,0,2,50101,300,6:00:00
20060605062273,2006,51,80,0,2,50101,180,11:30:00
20060605062277,2006,51,100,35,1,50101,10,7:30:00
20060605062278,2006,51,60,10,1,50101,180,4:00:00
20060605062279,2006,51,75,10,1,60102,70,9:05:00
20060605062288,2006,53,73,5,1,50101,300,7:00:00
20060605062288,2006,53,73,5,1,50101,225,12:30:00
20060605062297,2006,53,65,0,2,50101,285,7:00:00
20060605062297,2006,53,65,0,2,50101,210,13:00:00
20060605062297,2006,53,65,0,2,50101,30,21:01:00
20060605062304,2006,53,45,0,2,50101,460,10:20:00
20060605062304,2006,53,45,0,2,50101,165,18:15:00
20060605062304,2006,53,45,0,2,50101,105,21:15:00
20060605062304,2006,53,45,0,2,50101,285,23:15:00
20060605062315,2006,53,80,20,1,50101,15,7:45:00
20060605062315,2006,53,80,20,1,50101,120,8:00:00
20060605062315,2006,53,80,20,1,50101,165,10:15:00
20060605062315,2006,53,80,20,1,50101,120,13:30:00
20060605062315,2006,53,80,20,1,50101,15,15:45:00
20060605062318,2006,53,120,20,1,50101,5,6:30:00
20060605062318,2006,53,120,20,1,50101,350,6:40:00
20060605062330,2006,54,40,15,1,50101,270,14:00:00
20060605062330,2006,54,40,15,1,50101,135,18:45:00
20060605062330,2006,54,40,15,1,50101,80,21:10:00
20060605062335,2006,55,40,30,1,50101,120,23:00:00
