CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060112052488,2006,40,20,0,380
20060112052492,2006,40,15,0,120
20060112052502,2006,45,30,15,190
20060112052510,2006,45,0,0,240
20060112052522,2006,51,0,0,270
20060112052523,2006,51,0,0,450
20060112052539,2006,55,60,20,55
20060201060036,2006,17,65,0,45
20060201060073,2006,36,0,0,300
20060201060084,2006,41,0,0,360
20060201060510,2006,1,20,0,7
20060201060511,2006,1,0,0,810
20060201060514,2006,1,40,10,340
20060201060515,2006,1,4,0,80
20060201060522,2006,1,40,0,68
20060201060525,2006,1,40,10,360
20060201060532,2006,1,40,0,240
20060201060539,2006,2,4,2,180
20060201060548,2006,4,450,0,360
20060201060558,2006,4,40,20,120
20060201060570,2006,4,20,0,200
20060201060571,2006,4,6,0,120
20060201060579,2006,4,20,0,280
20060201060587,2006,5,0,0,300
20060201060588,2006,5,0,0,240
20060201060600,2006,5,0,0,90
20060201060617,2006,6,0,0,300
20060201060621,2006,6,36,15,90
20060201060638,2006,6,30,15,60
20060201060640,2006,6,0,0,375
20060201060661,2006,6,0,0,280
20060201060664,2006,6,900,300,105
20060201060667,2006,6,30,10,180
20060201060675,2006,6,0,0,960
20060201060684,2006,6,0,0,270
20060201060689,2006,6,0,0,375
20060201060694,2006,6,0,0,210
20060201060701,2006,6,7,7,30
20060201060712,2006,6,0,0,240
20060201060718,2006,6,90,90,20
20060201060719,2006,6,0,0,484
20060201060722,2006,6,10,0,60
20060201060723,2006,6,0,0,210
20060201060725,2006,6,30,15,60
20060201060727,2006,6,0,0,140
20060201060735,2006,6,0,0,475
20060201060764,2006,6,0,0,100
20060201060781,2006,6,12,4,150
20060201060782,2006,6,0,0,5
20060201060784,2006,6,30,0,40
20060201060794,2006,6,0,0,10
20060201060802,2006,6,0,0,120
20060201060812,2006,6,0,0,330
20060201060816,2006,6,0,0,180
20060201060832,2006,6,0,0,232
20060201060835,2006,6,30,0,20
20060201060837,2006,6,5,0,25
20060201060842,2006,6,12,0,280
20060201060850,2006,8,0,0,138
20060201060853,2006,8,20,20,30
20060201060856,2006,8,30,5,60
20060201060858,2006,8,0,0,210
20060201060867,2006,9,0,0,180
20060201060868,2006,9,0,0,60
20060201060925,2006,12,51,0,210
20060201060927,2006,12,0,0,120
20060201060955,2006,12,0,0,270
20060201060962,2006,12,15,0,180
20060201060969,2006,12,0,0,360
20060201060985,2006,12,0,0,240
20060201060994,2006,12,2262,377,240
20060201060997,2006,13,5,0,120
20060201060998,2006,13,15,0,30
20060201061008,2006,13,300,120,240
20060201061013,2006,13,0,0,60
20060201061023,2006,13,4,0,130
20060201061033,2006,13,320,0,1360
20060201061034,2006,13,0,0,150
20060201061037,2006,13,0,0,320
20060201061039,2006,13,0,0,90
20060201061049,2006,13,0,0,210
20060201061071,2006,16,120,0,80
20060201061076,2006,16,0,0,120
20060201061098,2006,17,15,0,255
20060201061101,2006,17,0,0,45
20060201061116,2006,17,0,0,240
20060201061122,2006,17,100,10,110
20060201061123,2006,17,30,0,165
20060201061124,2006,17,876,0,180
20060201061127,2006,17,0,0,240
20060201061130,2006,17,0,0,40
20060201061131,2006,17,0,0,210
20060201061132,2006,17,20,10,70
20060201061134,2006,17,0,0,570
20060201061139,2006,17,20,10,160
20060201061151,2006,17,45,0,0
20060201061159,2006,18,60,30,60
20060201061171,2006,18,80,0,60
20060201061172,2006,18,0,0,300
20060201061190,2006,18,0,0,110
20060201061191,2006,18,10,0,140
20060201061197,2006,18,810,270,180
20060201061218,2006,20,45,0,120
20060201061225,2006,20,14,2,90
20060201061235,2006,21,0,0,90
20060201061238,2006,21,0,0,120
20060201061240,2006,21,0,0,120
20060201061258,2006,22,10,0,300
20060201061263,2006,22,0,0,130
20060201061267,2006,22,43,30,0
20060201061270,2006,22,0,0,3
20060201061292,2006,24,0,0,120
20060201061316,2006,25,20,0,120
20060201061318,2006,25,0,0,50
20060201061327,2006,25,0,0,210
20060201061329,2006,25,20,20,30
20060201061331,2006,25,30,10,180
20060201061339,2006,25,225,45,825
20060201061341,2006,25,0,0,190
20060201061346,2006,25,0,0,225
20060201061347,2006,26,80,0,240
20060201061351,2006,26,10,0,40
20060201061354,2006,26,20,10,180
20060201061357,2006,26,0,0,210
20060201061373,2006,26,140,0,217
20060201061379,2006,26,40,0,180
20060201061392,2006,26,460,230,20
20060201061401,2006,26,0,0,280
20060201061405,2006,26,0,0,380
20060201061408,2006,26,0,0,50
20060201061414,2006,26,16,4,300
20060201061437,2006,27,30,10,15
20060201061440,2006,28,1660,525,80
20060201061448,2006,28,90,10,30
20060201061449,2006,28,80,5,60
20060201061462,2006,28,0,0,120
20060201061471,2006,28,10,10,20
20060201061473,2006,29,0,0,15
20060201061476,2006,29,0,0,164
20060201061483,2006,29,55,0,275
20060201061496,2006,29,45,0,100
20060201061504,2006,29,6,0,90
20060201061518,2006,30,20,0,90
20060201061537,2006,32,100,0,80
20060201061538,2006,32,45,0,210
20060201061539,2006,32,50,10,255
20060201061540,2006,33,4,3,30
20060201061542,2006,33,0,0,60
20060201061543,2006,33,10,0,140
20060201061553,2006,34,33,0,65
20060201061564,2006,34,30,5,220
20060201061565,2006,34,0,0,50
20060201061581,2006,34,15,15,40
20060201061601,2006,34,0,0,240
20060201061610,2006,35,20,0,72
20060201061615,2006,35,5,5,30
20060201061622,2006,36,60,0,340
20060201061638,2006,36,0,0,200
20060201061661,2006,36,60,0,45
20060201061672,2006,36,40,0,90
